YearMonth,Vehicles
Jan-05,183379
Feb-05,234208
Mar-05,281906
Apr-05,260741
May-05,263949
Jun-05,265698
Jul-05,343768
Aug-05,266798
Sep-05,209587
Oct-05,182417
Nov-05,185852
Dec-05,244989
Jan-06,189817
Feb-06,226291
Mar-06,268123
Apr-06,242877
May-06,256755
Jun-06,246815
Jul-06,221491
Aug-06,235920
Sep-06,220877
Oct-06,198130
Nov-06,164170
Dec-06,212703
Jan-07,151416
Feb-07,194310
Mar-07,243541
Apr-07,209694
May-07,239579
Jun-07,228376
Jul-07,177167
Aug-07,200401
Sep-07,173554
Oct-07,179652
Nov-07,166565
Dec-07,191729
Jan-08,145435
Feb-08,181808
Mar-08,209714
Apr-08,185434
May-08,200372
Jun-08,163769
Jul-08,154527
Aug-08,150006
Sep-08,114519
Oct-08,126600
Nov-08,116756
Dec-08,184914
Jan-09,89085
Feb-09,94035
Mar-09,122605
Apr-09,126385
May-09,153437
Jun-09,144357
Jul-09,157198
Aug-09,175274
Sep-09,107811
Oct-09,131211
Nov-09,117212
Dec-09,221678
Jan-10,110716
Feb-10,134925
Mar-10,174949
Apr-10,160928
May-10,188793
Jun-10,168328
Jul-10,165019
Aug-10,156090
Sep-10,158613
Oct-10,156181
Nov-10,145367
Dec-10,257684
Jan-11,125141
Feb-11,153513
Mar-11,209439
Apr-11,186725
May-11,189137
Jun-11,190540
Jul-11,178822
Aug-11,173573
Sep-11,172788
Oct-11,165484
Nov-11,164659
Dec-11,270316
Jan-12,135532
Feb-12,352164
Mar-12,220491
Apr-12,175919
May-12,212089
Jun-12,205206
Jul-12,172396
Aug-12,195808
Sep-12,172359
Oct-12,166957
Nov-12,175880
Dec-12,285251
Jan-13,164777
Feb-13,193462
Mar-13,233409
Apr-13,208787
May-13,242860
Jun-13,233538
Jul-13,192212
Aug-13,219574
Sep-13,183176
Oct-13,189554
Nov-13,187642
Dec-13,294464
Jan-14,152292
Feb-14,181996
Mar-14,241475
Apr-14,207700
May-14,249574
Jun-14,219741
Jul-14,210519
Aug-14,221024
Sep-14,179335
Oct-14,187809
Nov-14,186255
Dec-14,281854
Jan-15,177382
Feb-15,179648
Mar-15,234774
Apr-15,221603
May-15,250077
Jun-15,224671
Jul-15,222009
Aug-15,233879
Sep-15,221261
Oct-15,213103
Nov-15,186822
Dec-15,286422
Jan-16,172398
Feb-16,216792
Mar-16,253064
Apr-16,229739
May-16,234748
Jun-16,239096
Jul-16,215268
Aug-16,213410
Sep-16,203444
Oct-16,187692
Nov-16,196441
Dec-16,281883
Jan-17,171186
Feb-17,207464
Mar-17,234895
Apr-17,213436
May-17,240250
Jun-17,227166
Jul-17,199318
Aug-17,209029
Sep-17,221643
Oct-17,199698
Nov-17,210205
Dec-17,282146
Jan-18,160411
Feb-18,194062
Mar-18,243021
Apr-18,208109
May-18,241527
Jun-18,229537
Jul-18,192743
Aug-18,217700
Sep-18,196496
Oct-18,191682
Nov-18,195255
Dec-18,255720
Jan-19,188882
Feb-19,185353
Mar-19,208523
Apr-19,209639
May-19,241889
Jun-19,187511
Jul-19,189476
Aug-19,212214
Sep-19,174317
Oct-19,197153
Nov-19,204431
Dec-19,210495
Jan-20,167146
Feb-20,216395
Mar-20,131072
Apr-20,77815
May-20,172928
Jun-20,181572
Jul-20,192536
Aug-20,171144
Sep-20,185405
Oct-20,181820
Nov-20,148816
Dec-20,207951
Jan-21,142577
Feb-21,162834
Mar-21,213270
Apr-21,197063
May-21,160520
Jun-21,114676
Jul-21,118917
Aug-21,123343
Sep-21,155384
Oct-21,174464
Nov-21,157417
Dec-21,172257
Jan-22,142445
Feb-22,128229
Mar-22,158500
Apr-22,175942
May-22,153434
Jun-22,151182
Jul-22,162819
Aug-22,157062
Sep-22,141633
Oct-22,156917
Nov-22,144984
Dec-22,177840
Jan-23,145070
Feb-23,156003
Mar-23,174968
Apr-23,182623
May-23,169582
Jun-23,175670
Jul-23,172635
Aug-23,160199
Sep-23,164274
Oct-23,148760
Nov-23,144453
Dec-23,191245
Jan-24,151880
Feb-24,173065
Mar-24,193132
Apr-24,178599
May-24,188938
Jun-24,166929
Jul-24,172187
Aug-24,353790
Sep-24,146705
